Directory Name,Total Frames,Width,Height,Pixels,Directory Size (MB),Server Info,Model Name,Params,Categories,Inference Time (s)
frame3500_4,3500,540,960,518400,2238.873207092285,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,47.23724818229675
frame3500_5,3500,720,1280,921600,4769.266528129578,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,47.391785621643066
frame3500_6,3500,360,640,230400,1480.9324951171875,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,46.26883101463318
frame3500_7,3500,540,960,518400,3085.3826293945312,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,47.224660873413086
frame3500_8,3500,360,640,230400,1310.9215364456177,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,45.99029326438904
frame3500_9,3500,720,1280,921600,5539.414231300354,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,47.171379804611206
frame4000_0,4000,720,1280,921600,5543.311743736267,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,53.74486207962036
frame4000_1,4000,360,640,230400,1780.361890792847,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,52.50666666030884
frame4000_2,4000,360,640,230400,1417.003812789917,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,52.59089279174805
frame4000_3,4000,360,640,230400,1053.2174882888794,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,52.58666348457336
frame4000_4,4000,720,1280,921600,4160.852443695068,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,53.96159052848816
frame4000_5,4000,360,640,230400,1361.965413093567,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,52.48686099052429
frame4500_0,4500,540,960,518400,2751.66600894928,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,59.538089752197266
frame4500_1,4500,360,640,230400,968.272162437439,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,59.09018063545227
frame4500_2,4500,360,640,230400,1522.766714096069,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,59.67853474617005
frame4500_3,4500,360,640,230400,1688.6479215621948,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,59.77759099006653
frame0500_0,500,360,640,230400,127.94269561767578,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,8.105751276016235
frame0500_1,500,720,1280,921600,599.6991939544678,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,8.762843608856201
frame0500_2,500,360,640,230400,118.56429481506348,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,8.046174764633179
frame0500_3,500,2160,3840,8294400,2999.1242027282715,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,12.378426313400269
frame1000_0,1000,360,640,230400,309.0996513366699,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,16.558449506759644
frame1000_1,1000,360,640,230400,404.8405485153198,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,16.2060546875
frame1000_2,1000,540,960,518400,613.689887046814,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,16.156975746154785
frame1000_3,1000,360,640,230400,470.62690448760986,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,16.261434316635132
frame1000_4,1000,338,640,216320,218.37547492980957,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,16.078360557556152
frame1000_5,1000,720,1280,921600,1131.3090629577637,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,17.504083156585693
frame1500_0,1500,360,640,230400,426.1728382110596,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,23.490317583084103
frame1500_1,1500,360,640,230400,537.2491159439087,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,24.280011653900143
frame1500_10,1500,720,1280,921600,1689.7155990600586,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,26.718245029449463
frame1500_11,1500,720,1280,921600,1637.241135597229,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,25.991678476333615
frame1500_12,1500,360,640,230400,544.9795846939087,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,24.51594567298889
frame1500_13,1500,360,640,230400,316.7101163864136,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,23.545581102371216
frame1500_2,1500,720,1280,921600,2454.019359588623,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,29.187472581863403
frame1500_3,1500,360,640,230400,537.905837059021,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,23.97051453590393
frame1500_4,1500,360,640,230400,514.2756662368774,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,23.599851369857788
frame1500_5,1500,360,640,230400,444.860857963562,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,23.944949865341187
frame1500_6,1500,360,640,230400,456.89137268066406,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,24.080281734466553
frame1500_7,1500,360,640,230400,449.89038467407227,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,24.332117319107056
frame1500_8,1500,720,1280,921600,1709.3236331939695,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,25.90867280960083
frame1500_9,1500,360,640,230400,617.8049640655518,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,23.42139196395874
frame2000_0,2000,360,640,230400,889.6308012008667,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,31.151829957962036
frame2000_1,2000,360,640,230400,841.1509265899658,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,31.756730318069454
frame2000_10,2000,360,640,230400,713.6719493865967,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,32.11048603057861
frame2000_11,2000,540,960,518400,2144.325114250183,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,33.708215951919556
frame2000_12,2000,720,1280,921600,1324.1342267990112,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,34.003013372421265
